z_transition,width,fractional_H_step,replicates,compressed_post_signal_snr,compressed_pre_signal_snr,point_sample_signal_snr,compression_attenuation,post_to_pre_snr_ratio,global_3sigma_detection_fraction,detected_and_located_fraction,location_success_given_detection,median_recovered_z,median_recovered_width,median_recovered_fractional_H_step
1.321,0.03,0.02,1000,0.549866634640023,0.549866634640023,0.5710885427755934,0.9628395484307424,1.0,0.005,0.001,0.2,1.35,0.005,0.16870282684106036
1.321,0.03,0.05,1000,1.320521029884953,1.297160703962578,1.3969642271944516,0.9452790588181196,1.0180088140590549,0.025,0.007,0.28,1.15,0.005,0.10575190879965678
1.321,0.03,0.1,1000,2.518772300981501,2.4370645798738657,2.698349382672876,0.933449284646196,1.0335271054293784,0.165,0.077,0.4666666666666667,1.3,0.15,0.15586268828751274
1.321,0.03,0.2,1000,10.279489294495182,6.661684666525042,5.05839940697482,2.0321624425942355,1.543076535301889,1.0,0.0,0.0,1.55,0.005,0.6589588899971073
1.321,0.15,0.005,1000,0.1270351930432236,0.1270351930432236,0.13547879180179048,0.9376758631644715,1.0,0.002,0.0,0.0,0.575,0.0775,0.1346755452667407
1.321,0.15,0.01,1000,0.2803551667549488,0.2803551667549488,0.270085925400676,1.0380221269917649,1.0,0.002,0.001,0.5,1.0250000000000001,0.15,0.1026532791368948
1.321,0.15,0.02,1000,0.5307208418935717,0.5267335849663334,0.5367248270671611,0.9888136622887429,1.007569779184468,0.004,0.003,0.75,1.3250000000000002,0.0775,0.14484837833696546
1.321,0.15,0.05,1000,1.2899177924134684,1.2861338614783897,1.3167215091387456,0.9796435946863135,1.0029420972796168,0.024,0.016,0.6666666666666666,1.2,0.005,0.09521539810954212
1.321,0.15,0.1,1000,2.490429471431877,2.459884008363545,2.554520621241749,0.9749106938981306,1.012417440401449,0.157,0.118,0.7515923566878981,1.2,0.15,0.12466870175965239
1.321,0.15,0.2,1000,4.932182479611168,6.816622296456084,4.824007022094238,1.022424398849645,0.7235522616788341,0.908,0.824,0.9074889867841409,1.35,0.15,0.1928202245070259
1.484,0.005,0.005,1000,0.07353994411240683,0.07353994411240683,0.06975155952597156,1.0543125431485827,1.0,0.003,0.001,0.3333333333333333,0.85,0.005,0.11708306142211385
